RefId,Title,Component Dates,Component Access Restricton,Component Notes,Ancestor,Ancestor Access Restriction,Ancestor Notes,Parent Collection,Finding Aid Title,Resource ID,Resource Dates,Resource Access Restriction,Resource Use Restriction
fd11d490cedb4d15a922ea3224bd4af5,"Central Institute for the Deaf - De No, Lorente",1940,,,United States - Medical Sciences (subseries),,"Most of the files in this section date from the 1930's and 40's. The Foundation's program in the medical sciences during this period was directed by Dr. Alan Gregg and was concentrated in psychiatry and neurology and related subjects - neuroanatomy, heredity, endocrinology, neuropathology, child guidance, industrial psychology and sex research. Emphasis was placed on worker training, selected research projects and measures to improve or extend the application of existing knowledge. The medical sciences program also devoted part of its resources to the development of university teaching departments of public health. The program was conceived to be complementary to the natural sciences program in human biology. Although it developed out of the old Division of Medical Education of the Foundation, the Medical Sciences division had no program in medical education in the United States, except for a small program of post-war medical fellowship grants to leading universities. | For information about the establishment of medical schools see the files of the General Education Board. Consult also the state inventories.",Rockefeller Foundation records,"projects, SG 1.1, Series 100 International - Series 257 Virgin Islands, U.S.A.",FA386a,2000,"Open for research with select materials restricted as noted. Brittle or damaged items are available at the discretion of RAC. Confidential material in this record group has been segregated and is inaccessible. Each pertinent file is open to research, and physical removal of the segregated material within each file is not necessary. Researchers interested in accessing digital media (floppy disks, CDs, DVDs, etc.) or audiovisual material (audio cassettes, VHS, etc.) in this collection must use an access surrogate. The original items may not be accessed because of preservation concerns. To request an access surrogate be made, or if you are unsure if there is an access surrogate, please contact a RAC archivist.",
fce3d77493c0454c90bea99aaa58c25c,Yale University - Institute of Human Relations,1937,,,United States (series),,"This series includes material for grants given to organizations that are national in scope but that fall outside the Foundation's established program divisions. Files are organized alphabetically. This series includes documentation of grants given as the result of the founder's designation and grants to such institutions as the American Baptist Home Mission Society, the American Council on Education, Biological Abstracts, a bird refuge in Louisiana, the Bureau of Municipal Research, the National Committee for Mental Hygiene, the National Research Council, and prominent universities such as Johns Hopkins, Harvard and Yale. Also included in this series are files on the Foundation's support of the Emergency Committee in Aid of Displaced Foreign Scholars and its support for Refugee Scholars during the 1930s and 1940s.",Rockefeller Foundation records,"projects, SG 1.1, Series 100 International - Series 257 Virgin Islands, U.S.A.",FA386a,2000,"Open for research with select materials restricted as noted. Brittle or damaged items are available at the discretion of RAC. Confidential material in this record group has been segregated and is inaccessible. Each pertinent file is open to research, and physical removal of the segregated material within each file is not necessary. Researchers interested in accessing digital media (floppy disks, CDs, DVDs, etc.) or audiovisual material (audio cassettes, VHS, etc.) in this collection must use an access surrogate. The original items may not be accessed because of preservation concerns. To request an access surrogate be made, or if you are unsure if there is an access surrogate, please contact a RAC archivist.",
fcc357188042406592e8d7912bbae8f5,"Lancaster, South Carolina - Minutes - Executive Committee; Board of Directors and Members",1952,,,Project Files (subseries),,,Commonwealth Fund records,"Division of Rural Hospitals, SG 1, Series 14",FA286,1951,Open for research with select materials restricted as noted. Brittle or damaged items are available at the discretion of RAC. ,"RAC users must abide by all applicable provisions of United States copyright law. Reproduction/duplication of archival items is routinely provided in accordance with ""fair use."" If the RAC does not hold copyright for an archival collection, or items within a collection, it is the user’s responsibility to contact the copyright holder, or make a fair effort to do so, prior to publication.  "
fcb0590a051d47a39a88f90fd19041b7,Miroslav Valouch,1934,,Physics.  ,Fellowships in Science (subseries),,This subseries consists of fellowship files in the physical and natural sciences. Fellowships in the Far East are listed at the end of this subseries.  ,International Education Board records,,FA062,1960,"Open for researchd. Brittle or damaged items are available at the discretion of RAC. Researchers interested in accessing digital media (floppy disks, CDs, DVDs, etc.) or audiovisual material (audio cassettes, VHS, etc.) in this collection must use an access surrogate. The original items may not be accessed because of preservation concerns. To request an access surrogate be made, or if you are unsure if there is an access surrogate, please contact an archivist.","RAC users must abide by all applicable provisions of United States copyright law.  Reproduction/duplication of archival items is routinely provided in accordance with ""fair use."" If the RAC does not hold copyright for an archival collection, or items within a collection, it is the user’s responsibility to contact the copyright holder, or make a fair effort to do so, prior to publication."
fc6c099efd9d4529bb5a2d69ae6d2e08,University of Toronto - Child Study,1940,,,Canada - Social Sciences (subseries),,"The first Foundation grant to Canada was as part of a relief effort in Newfoundland (1914). As part of regular program oriented support, the Foundation supported various medical and public health projects, especially between 1920 and 1950. Dalhousie and McGill University, the Universities of Manitoba and Montreal, and various Provincial governments were the main beneficiaries of the Foundation's interests in these areas.   In the humanities, the Foundation gave grants for folklore studies, library surveys, and drama, mainly in the 1940's. Support for the social sciences came mainly through grants and fellowships administered by the Canadian social Science Research Council (1940-1957) and various universities.",Rockefeller Foundation records,"projects, SG 1.1, Series 300 Latin America - Series 833 Leb",FA386b,2000,"Open for research with select materials restricted as noted. Brittle or damaged items are available at the discretion of RAC. Confidential material in this record group has been segregated and is inaccessible. Each pertinent file is open to research, and physical removal of the segregated material within each file is not necessary. Researchers interested in accessing digital media (floppy disks, CDs, DVDs, etc.) or audiovisual material (audio cassettes, VHS, etc.) in this collection must use an access surrogate. The original items may not be accessed because of preservation concerns. To request an access surrogate be made, or if you are unsure if there is an access surrogate, please contact a RAC archivist.",
fbd9debab3a540f998aaeca4220336ed,"Subramanian, Karaikudi S.",1982,,,S (otherlevel),,,Asian Cultural Council records,"ministrative Files, RG 1",FA427,2006,"Records more than 15 years old are open for research with select materials restricted as noted. Brittle or damaged items are available at the discretion of RAC. Researchers interested in accessing digital media (floppy disks, CDs, DVDs, etc.) or audiovisual material (audio cassettes, VHS, etc.) in this collection must use an access surrogate. The original items may not be accessed because of preservation concerns. To request an access surrogate be made, or if you are unsure if there is an access surrogate, please contact an archivist.",
fb83fdde584b4fb494e3ddaca2639706,Cornell University - Civil Liberties,1949,,,United States - Social Sciences (subseries),,"The Rockefeller Foundation took over from the Laura Spelman Rockefeller Memorial a well developed program in the social sciences. This program had emphasized the promotion of fundamental and applied social sciences and research in the areas of social disturbance and problems of socially maladjusted groups.   In 1933, the Trustees of the Foundation called for a program in human relations complementary to the medical science program in psychiatry and the natural sciences program in human biology. A program was developed which included international relations, economic stabilization, social security, the public administration. Special objectives of this program were the training of technical and administrative personnel and liaison between practitioner and research groups in these fields. Grants were made to organizations such as the Foreign Policy Association, the National Bureau of Economic Research, the Institute of Pacific Relations and the Brookings Institution. Projects at leading universities were aided.   Other fields in which the Foundation had an interest include housing, cultural anthropology, and criminology. These were never developed fully. There was always a strong interest in strengthening the social science field, especially through such organizations as the American Association of Schools of Social Work and the Social Science Research Council. Most of the files in this section are from the 30's and 40's.   Directors of the social science program were Edmund E. Day (1929-1937), Sydnor H. Walker, Acting (1937-1938), and Joseph H. Willits (1939-1954).",Rockefeller Foundation records,"projects, SG 1.1, Series 100 International - Series 257 Virgin Islands, U.S.A.",FA386a,2000,"Open for research with select materials restricted as noted. Brittle or damaged items are available at the discretion of RAC. Confidential material in this record group has been segregated and is inaccessible. Each pertinent file is open to research, and physical removal of the segregated material within each file is not necessary. Researchers interested in accessing digital media (floppy disks, CDs, DVDs, etc.) or audiovisual material (audio cassettes, VHS, etc.) in this collection must use an access surrogate. The original items may not be accessed because of preservation concerns. To request an access surrogate be made, or if you are unsure if there is an access surrogate, please contact a RAC archivist.",
fb3bbf26e9f54e33be1863518b1794ef,Museums - Museum of Modern Art (MoMA) - Directors - Rene d'Harnoncourt - South American Trip,1945,,To collect information for Museum and for Coordinator of Inter-American Affairs (CIAA). Copies of his reports.  ,,,,Nelson A. Rockefeller personal papers,"Projects, Series L",FA348,1971,"Open for research with select materials restricted as noted. Brittle or damaged items are available at the discretion of RAC. Material in the Rockefeller family collections that provides the names, correspondence, or activities of living members of the Rockefeller family, and/or documents the net wealth of any Rockefeller family members, is restricted. Researchers interested in accessing digital media (floppy disks, CDs, DVDs, etc.) or audiovisual material (audio cassettes, VHS, etc.) in this collection must use an access surrogate. The original items may not be accessed because of preservation concerns. To request an access surrogate be made, or if you are unsure if there is an access surrogate, please contact an archivist.","RAC users must abide by all applicable provisions of U.S. copyright law. Reproduction/duplication of archival items is routinely provided in accordance with ""fair use."" If the RAC does not hold copyright for an archival collection or items within a collection, it is the user's responsibility to contact the copyright holder, or make a fair effort to do so, prior to publication.  "
fb2c61ddcb04202d59895b6c4b7f36e5,Japanese Peace Treaty - Dulles Mission,1951,,"Report to Ambassador John Foster Dulles; summary of report called ""United States-Japanese Cultural Relations""; requests from the press for interview or statements; JDR 3rd statement on ratification of Japanese Peace Treaty; preliminary report to Dulles February 26, 1951; cable sent to Ambassador Sebold in Tokyo re. new rights and responsibilities of the women of Japan.",General - Foreign (series),,,Rockefeller Family Public Relations Department papers,Series 1-9,FA789A,1981,"Open for research. Brittle or damaged items are available at the discretion of RAC. Researchers interested in accessing digital media (floppy disks, CDs, DVDs, etc.) or audiovisual material (audio cassettes, VHS, etc.) in this collection must use an access surrogate. The original items may not be accessed because of preservation concerns. To request an access surrogate be made, or if you are unsure if there is an access surrogate, please contact an archivist.",
fb19e7d2b43c495987ab7588c6be1cd3,Makerere College - Medical School - Exchange of Personnel,1953,,,East Africa - Medical Sciences (subseries),,,Rockefeller Foundation records,"projects, SG 1.2, Series 300 Latin America - Series 833 Leb",FA387b,2000,"Open for research with select materials restricted as noted. Brittle or damaged items are available at the discretion of RAC. Confidential material in this record group has been segregated and is inaccessible. Each pertinent file is open to research, and physical removal of the segregated material within each file is not necessary.   Researchers interested in accessing digital media (floppy disks, CDs, DVDs, etc.) or audiovisual material (audio cassettes, VHS, etc.) in this collection must use an access surrogate. The original items may not be accessed because of preservation concerns. To request an access surrogate be made, or if you are unsure if there is an access surrogate, please contact an archivist.",
fa230f363b83404abf41118069cd5482,"Vellore Christian Medical College - Chandy, Jacob",1959,,,India - Medical Sciences (subseries),,,Rockefeller Foundation records,"projects, SG 1.2, Series 300 Latin America - Series 833 Leb",FA387b,2000,"Open for research with select materials restricted as noted. Brittle or damaged items are available at the discretion of RAC. Confidential material in this record group has been segregated and is inaccessible. Each pertinent file is open to research, and physical removal of the segregated material within each file is not necessary.   Researchers interested in accessing digital media (floppy disks, CDs, DVDs, etc.) or audiovisual material (audio cassettes, VHS, etc.) in this collection must use an access surrogate. The original items may not be accessed because of preservation concerns. To request an access surrogate be made, or if you are unsure if there is an access surrogate, please contact an archivist.",
fa2087632bba49c8bed84789c0d4a553,"305.6 - Brazil, Federal District - Oswaldo Cruz Institute - Chagas, Carlos",1921,,,Correspondence - Project (subseries),,For subseries 485: See also subseries 812   For subseries 812: See also subseries 485,Rockefeller Foundation records,"International Health Board/Division records, RG 5",FA115,1964,"Open for research with select materials restricted as noted. Brittle or damaged items are available at the discretion of RAC. Researchers interested in accessing digital media (floppy disks, CDs, DVDs, etc.) or audiovisual material (audio cassettes, VHS, etc.) in this collection must use an access surrogate. The original items may not be accessed because of preservation concerns. To request an access surrogate be made, or if you are unsure if there is an access surrogate, please contact an archivist.",
f9bcccab4d014f8da6254b5424972eba,"Edozien, Joseph Chike",1963,,,Nigeria (series),,,Rockefeller Foundation records,"projects, SG 1.2, Series 300 Latin America - Series 833 Leb",FA387b,2000,"Open for research with select materials restricted as noted. Brittle or damaged items are available at the discretion of RAC. Confidential material in this record group has been segregated and is inaccessible. Each pertinent file is open to research, and physical removal of the segregated material within each file is not necessary.   Researchers interested in accessing digital media (floppy disks, CDs, DVDs, etc.) or audiovisual material (audio cassettes, VHS, etc.) in this collection must use an access surrogate. The original items may not be accessed because of preservation concerns. To request an access surrogate be made, or if you are unsure if there is an access surrogate, please contact an archivist.",
f9a079eb3c35474283a04d6ed59db9d7,Reports - Mexico - Hookworm,1925,,"Mexico - Hookworm, 1st Quarterly Report, 1925   Mexico - Hookworm, 2nd Quarterly Report, 1925   Mexico - Hookworm, 3rd Quarterly Report, 1925   Mexico - Hookworm, 4th Quarterly Report, 1925",Routine Reports - Mexico - Hookworm (subseries),,,Rockefeller Foundation records,"International Health Board/Division records, RG 5",FA115,1964,"Open for research with select materials restricted as noted. Brittle or damaged items are available at the discretion of RAC. Researchers interested in accessing digital media (floppy disks, CDs, DVDs, etc.) or audiovisual material (audio cassettes, VHS, etc.) in this collection must use an access surrogate. The original items may not be accessed because of preservation concerns. To request an access surrogate be made, or if you are unsure if there is an access surrogate, please contact an archivist.",
f99e7403fdb64f8cadd6c2d5cb85c3de,"Johns Hopkins University - Biochemistry - Andrews, Donald",1941,,,United States - Natural Sciences and Agriculture (subseries),,"The Foundation's program in natural sciences developed from the old programs of the IEB and GEB. Under the direction of Wickliffe Rose, those organizations emphasized mathematics, physics, and chemistry. After a trial period, 1929-1932, during which the natural sciences division had five directors or acting directors, Warren Weaver was appointed director, remaining until 1951. A new program was developed, at first called ""vital processes,"" later ""modern experimental biology,"" to meet the desire of the Trustees for a people-oriented program based on the idea that the natural sciences were essential to medicine. The programs in medical science and natural science were intended to be complementary.   This group of files contains material mostly from the 1930's and 40' relating to research projects in subjects such as biophysics, biochemistry, genetics and physiology. A number of European refugee scholars were aided under this program. The application of physical and chemical techniques to biology, genetics and nutrition was of special interest. There are no files relating to agriculture in this subseries.",Rockefeller Foundation records,"projects, SG 1.1, Series 100 International - Series 257 Virgin Islands, U.S.A.",FA386a,2000,"Open for research with select materials restricted as noted. Brittle or damaged items are available at the discretion of RAC. Confidential material in this record group has been segregated and is inaccessible. Each pertinent file is open to research, and physical removal of the segregated material within each file is not necessary. Researchers interested in accessing digital media (floppy disks, CDs, DVDs, etc.) or audiovisual material (audio cassettes, VHS, etc.) in this collection must use an access surrogate. The original items may not be accessed because of preservation concerns. To request an access surrogate be made, or if you are unsure if there is an access surrogate, please contact a RAC archivist.",
f98b6f73ce5946a58f2c61c3bf593179,"Germany 1.1 - University of Gottengen, Institute of Mathematics and Mathematical Physics",1930,,Construction and equipment. Richard Courant.  ,Foreign Countries (subseries),,Projects and general information are filed under a given country. There is quite a lot of information about fellowships and traveling professorships in this subseries.  ,International Education Board records,,FA062,1960,"Open for researchd. Brittle or damaged items are available at the discretion of RAC. Researchers interested in accessing digital media (floppy disks, CDs, DVDs, etc.) or audiovisual material (audio cassettes, VHS, etc.) in this collection must use an access surrogate. The original items may not be accessed because of preservation concerns. To request an access surrogate be made, or if you are unsure if there is an access surrogate, please contact an archivist.","RAC users must abide by all applicable provisions of United States copyright law.  Reproduction/duplication of archival items is routinely provided in accordance with ""fair use."" If the RAC does not hold copyright for an archival collection, or items within a collection, it is the user’s responsibility to contact the copyright holder, or make a fair effort to do so, prior to publication."
f9103478533c4c83a29590bf1d459cfe,North Carolina College for Negroes - Health Education,1952,,"Equipment, salaries. James Shepard.   | Photos. See also NC 224.  ",Appropriations - Southern Secondary and Elementary Education (subseries),,"Subseries 3, Southern Secondary and Elementary Education, concerns mainly later programs of the General Education Board, the program in General Education beginning in 1933, and the New Southern Program in 1940. These files are mainly appropriations to universities and colleges and educational organizations for the support of projects in a wide variety of fields of educational interest.  ",General Education Board records,,FA058,1969,Open for research with select materials restricted are noted. Brittle or damaged items are available at the discretion of RAC.,"RAC users must abide by all applicable provisions of United States copyright law.  Reproduction/duplication of archival items is routinely provided in accordance with ""fair use.""  If the RAC does not hold copyright for an archival collection, or items within a collection, it is the user’s responsibility to contact the copyright holder, or make a fair effort to do so, prior to publication."
f9037c88e2844c6530091362658c5f6e,Association of Brazilian Centers for Teaching and Research in Economics (ANPEC) (07400620),1981,,"SUPPORT FOR THE ASSOCIATION'S MEETINGS, SEMINARS, PUBLICATIONS, FACULTY EXCHANGE AND ADMINISTRATIVE EXPENSES | Brazil (Rio de Janeiro) | $413,000.00;$413,000.00 | Goodman, David E.",Ford Foundation Grants - A to B (series),,,Ford Foundation records,Grants A-B,FA732A,2006,Grants inactive for more than 10 years are open for research with select materials restricted as noted. Brittle or damaged items are available at the discretion of RAC.  Completion of a use agreement is required prior to providing scholarly access. See RAC Head of Reference (or applicable designee) for details.,"Ford Foundation holds title, copyright and literary rights in the collection, in so far as it holds them.   The Rockefeller Archive Center has authority to grant permission to cite and publish material from the collection for scholarly purposes. Permission to publish extensive excerpts, or material in its entirety, will be referred to the Ford Foundation."
f8d4a1f4552e4ceabfd0f0c6bf51862e,Photographs. Miscellaneous,,,,,,,Richard E. Shope papers,kefeller University Faculty,FA199,1971,Access to this collection is restricted pending permission from Rockefeller University.,
f8a46e8fe7ab479eae9f3cafbad432dc,"University College, Ibadan",1972,,,Nigeria (series),,,Rockefeller Foundation records,"projects, SG 1.3",FA388,2000,"Open for research with select materials restricted as noted. Brittle or damaged items are available at the discretion of RAC. Confidential material in this record group has been segregated and is inaccessible. Each pertinent file is open to research, and physical removal of the segregated material within each file is not necessary.Researchers interested in accessing digital media (floppy disks, CDs, DVDs, etc.) or audiovisual material (audio cassettes, VHS, etc.) in this collection must use an access surrogate. The original items may not be accessed because of preservation concerns. To request an access surrogate be made, or if you are unsure if there is an access surrogate, please contact an archivist.","RAC users must abide by all applicable provisions of United States copyright law.  Reproduction/duplication of archival items is routinely provided in accordance with ""fair use.""  If the RAC does not hold copyright for an archival collection, or items within a collection, it is the user’s responsibility to contact the copyright holder, or make a fair effort to do so, prior to publication."
f87a4eeb230345f196d743230d631be6,"England 13 - Cambridge University, School of Entomology",1930,,,Foreign Countries (subseries),,Projects and general information are filed under a given country. There is quite a lot of information about fellowships and traveling professorships in this subseries.  ,International Education Board records,,FA062,1960,"Open for researchd. Brittle or damaged items are available at the discretion of RAC. Researchers interested in accessing digital media (floppy disks, CDs, DVDs, etc.) or audiovisual material (audio cassettes, VHS, etc.) in this collection must use an access surrogate. The original items may not be accessed because of preservation concerns. To request an access surrogate be made, or if you are unsure if there is an access surrogate, please contact an archivist.","RAC users must abide by all applicable provisions of United States copyright law.  Reproduction/duplication of archival items is routinely provided in accordance with ""fair use."" If the RAC does not hold copyright for an archival collection, or items within a collection, it is the user’s responsibility to contact the copyright holder, or make a fair effort to do so, prior to publication."
